Transaction ID,User ID,Transaction Amount,Transaction Time,Device ID,IP Address,Location,Transaction Type,Account Age,Fraud Status
TXN100000,USR_1141,1732.91,2026-06-14 19:25:21,DV_APPL_02,192.168.231.206,Bengaluru,P2M,530,0
TXN100001,USR_1038,432.91,2026-06-12 08:36:00,DV_XIAO_04,192.168.153.11,Hyderabad,P2P,1176,0
TXN100002,USR_1010,2635.65,2026-06-07 08:18:47,DV_APPL_02,192.168.81.103,Jaipur,P2P,124,0
TXN100003,USR_1072,3800.11,2026-05-29 04:15:55,DV_OPPO_07,192.168.161.62,Ahmedabad,P2M,1002,0
TXN100004,USR_1142,1881.65,2026-06-06 03:00:26,DV_ONEP_03,192.168.253.151,Pune,P2P,333,0
TXN100005,USR_1169,1973.11,2026-05-31 05:33:34,DV_XIAO_04,192.168.156.38,Delhi,P2M,918,0
TXN100006,USR_1021,2472.82,2026-06-16 06:37:16,DV_VIVO_06,192.168.137.197,Delhi,P2P,151,0
TXN100007,USR_1130,1400.72,2026-06-02 05:08:57,DV_ONEP_03,192.168.97.117,Pune,P2M,1122,0
TXN100008,USR_1039,1466.01,2026-06-16 21:16:45,DV_VIVO_06,192.168.172.184,Kolkata,P2P,1080,0
TXN100009,USR_1196,2176.86,2026-06-19 06:22:51,DV_OPPO_07,192.168.165.163,Lucknow,P2P,1166,0
TXN100010,USR_1105,2033.66,2026-06-03 01:29:04,DV_SAMS_01,192.168.176.14,Pune,P2M,830,0
TXN100011,USR_1079,480.84,2026-06-10 09:44:07,DV_VIVO_06,192.168.236.33,Kolkata,P2M,967,0
TXN100012,USR_1199,2170.15,2026-06-23 10:10:52,DV_SAMS_01,192.168.158.153,Ahmedabad,P2P,194,0
TXN100013,USR_1164,576.93,2026-06-05 05:00:37,DV_ONEP_03,192.168.170.222,Jaipur,P2P,235,0
TXN100014,USR_1041,453.05,2026-06-22 10:23:45,DV_SAMS_01,192.168.138.55,Delhi,P2P,1163,0
